[2026-05-21 15:02:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 15:03:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 15:04:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 15:05:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 15:06:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 15:07:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 15:08:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 15:23:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 15:23:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:01:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:02:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:03:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:04:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:05:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:06:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:07:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:08:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:09:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:10:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:11:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:12:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:13:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:14:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:15:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:16:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:17:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:18:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:19:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:20:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 16:21:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 16:24:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:24:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:25:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:25:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:26:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:26:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:27:02] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:27:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:28:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:28:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:29:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:29:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:30:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:30:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:31:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:31:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:41:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:41:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:42:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:42:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:43:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:43:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:44:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:44:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:45:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:46:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:46:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:47:02] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:47:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:48:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:48:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:49:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:49:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:50:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:50:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:51:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:51:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 16:52:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:53:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:54:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 16:55:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:56:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:57:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:58:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 16:59:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:00:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:01:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:02:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:03:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:04:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:05:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:06:01] SENSOR #3 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:07:01] SENSOR #3 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:08:02] SENSOR #3 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:11:01] SENSOR #4 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 17:12:01] SENSOR #4 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 17:13:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:14:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:15:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:16:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:17:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:18:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:19:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:20:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:21:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:22:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:23:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:24:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:25:01] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:26:01] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:27:01] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:28:01] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:29:02] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:30:01] SENSOR #4 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 17:31:01] SENSOR #4 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 17:48:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 17:49:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 17:50:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:51:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:52:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:53:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:54:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:55:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 17:56:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:57:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:58:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 17:59:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 18:00:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 18:01:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 18:02:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 18:03:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 18:04:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 18:05:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 18:05:01] SENSOR #4 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:06:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:06:01] SENSOR #4 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:07:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:07:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:07:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:07:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:08:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:08:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:08:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:08:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:09:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:09:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:09:01] SENSOR #3 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 18:09:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:10:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:10:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:10:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:10:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:11:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:11:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:11:01] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:11:01] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:12:02] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:12:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:12:02] SENSOR #3 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:12:02] SENSOR #4 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:13:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:13:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:13:01] SENSOR #4 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 18:14:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 18:14:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
